100 250
Y B Y R B Y Y B Y R B G R R B G Y B Y Y Y R Y Y G Y G B B G B G B B R R R R R Y R B Y Y G B Y R B Y Y G G B B B G G B G Y Y Y Y R Y R Y B B B R B G B B G B Y G Y B R B Y G B B Y B G Y Y B B Y Y B Y
1 2
1 11 B
53 63 G
53 42 B
53 43 R
53 44 Y
54 53 Y
54 55 B
54 44 B
55 65 G
55 45 Y
56 65 B
56 67 G
56 46 R
57 66 G
57 68 Y
57 46 B
57 48 B
58 57 B
58 47 G
58 48 R
59 60 G
59 70 B
60 69 B
60 50 Y
61 72 R
61 51 G
61 52 B
62 61 G
62 52 R
63 62 G
63 73 B
64 53 B
64 55 Y
64 74 G
65 54 B
65 64 G
65 66 Y
65 76 B
66 76 R
67 57 R
67 58 G
67 77 Y
68 58 B
68 59 R
68 67 R
68 77 G
69 58 R
69 68 B
69 80 B
70 60 B
70 79 G
71 62 G
71 72 Y
72 63 G
72 82 Y
73 64 Y
73 72 Y
73 83 B
74 63 B
74 73 R
74 83 Y
75 65 Y
75 66 B
75 76 G
76 85 R
76 86 B
77 66 R
77 87 G
77 88 Y
78 67 B
78 68 R
78 77 B
78 79 B
79 80 Y
79 88 B
80 70 Y
80 90 B
81 71 Y
81 72 B
82 81 G
82 91 B
82 92 B
82 93 R
83 93 Y
84 74 B
84 75 G
84 85 G
84 94 Y
84 95 Y
85 74 Y
85 75 B
85 94 G
86 75 Y
86 77 G
86 96 B
87 97 Y
88 87 Y
89 78 B
89 98 Y
90 79 R
90 89 B
91 81 R
91 92 Y
92 81 Y
92 93 R
93 84 Y
93 94 B
94 83 G
94 95 G
95 85 G
95 96 G
96 85 Y
97 86 R
97 96 Y
97 98 R
98 87 G
98 99 B
99 90 B
99 100 G
2 19 Y
3 10 B
3 13 R
3 14 R
4 3 Y
4 14 B
5 4 Y
6 5 B
6 16 Y
7 6 Y
7 17 R
8 7 Y
8 9 G
9 2 B
9 19 Y
10 1 B
10 13 Y
11 10 Y
12 1 G
12 3 G
12 10 Y
12 11 R
12 22 B
13 12 G
13 22 Y
13 24 B
14 5 R
14 13 B
14 15 Y
15 4 G
15 5 Y
15 26 B
16 7 G
16 15 R
16 25 Y
17 8 G
17 18 Y
17 27 R
18 7 B
18 8 Y
18 29 R
19 8 Y
19 18 G
19 20 R
20 2 Y
20 9 B
20 29 B
21 12 Y
22 23 R
22 32 B
22 33 Y
23 12 R
23 32 Y
24 23 B
24 25 G
24 34 B
25 14 B
25 15 Y
26 16 B
26 25 R
26 37 Y
27 16 R
27 18 Y
27 26 G
27 28 B
28 17 B
28 19 R
28 37 R
29 28 Y
29 30 B
29 39 R
29 40 G
30 19 B
30 20 G
30 40 Y
31 21 G
31 22 R
32 21 B
32 31 R
32 43 Y
33 24 Y
33 32 B
34 23 G
35 24 G
35 26 R
35 34 Y
36 26 Y
36 27 B
37 27 G
37 38 R
38 27 B
38 28 R
38 29 Y
38 48 Y
39 30 R
39 38 Y
39 48 B
39 50 G
40 39 Y
41 31 B
41 32 Y
42 31 Y
42 41 R
42 51 Y
42 52 G
43 33 R
43 42 Y
44 34 R
44 35 Y
44 45 B
45 54 R
45 56 Y
45 35 B
46 36 Y
46 45 G
47 56 B
47 57 G
47 36 R
48 59 B
48 37 B
48 47 R
49 59 B
49 38 G
49 39 R
50 59 Y
50 49 B
51 62 Y
51 41 B
52 41 Y
52 43 B
52 51 R
